Labeled Data,ner_tags
ተገጣጣሚዎቹን,O
የእንጨት,O
ብሎኮች,O
ከመነሻዬ,O
ሲሸምቱ,O
ልጆችዎ,B-FAMILY
ያለጥርጥር,O
እየተዝናኑ,O
ይማራሉ,B-EVENT
የእንጨት,O
ብሎኮችን,O
በተለያዩ,O
አማራጮች,B-ORG
ለማግኘት,O
ይጫኑ,O
አድራሻ,B-LOC
ጉርድ,O
ሾላ,O
ሆሊ,B-LOC
ሲቲ,B-LOC
ሴንተር,O
ፎቅ,O
ይደውሉ,B-EVENT
ወይም,O
መነሻዬ,O
የእንጨትብሎኮች,O
ትምህርታዊመጫወቻዎች,O
ስለ,O
ህዋ,O
ሳይንስ,O
የሚያስተምሩ,O
ትምህርታዊ,O
መጫዎቻዎችን,O
በተለያዩ,O
አማራጮች,B-ORG
ከመነሻዬ,O
ይበልጥ,O
ስለ,O
ህዋ,O
ሳይንስ,O
የሚያስተምር,O
ትምህርታዊ,O
መጫወቻዎችን,O
ለማግኘት,O
ይጫኑ,O
አድራሻ,B-LOC
ጉርድ,O
ሾላ,O
ሆሊ,B-LOC
ሲቲ,B-LOC
ሴንተር,O
ፎቅ,O
ይደውሉ,B-EVENT
ወይም,O
መነሻዬ,O
ትምህርታዊመጫወቻዎች,O
የካሪስማ,O
ደስታ,B-EVENT
በመነሻዬ,O
መነሻዬ,O
ለልጆች,O
የሚሆኑ,O
ትምህርታዊ,O
መጫዎቻዎችን,O
የሚያገኙበት,B-LOC
ስፍራ,O
ጉርድ,O
ሾላ,O
ሆሊ,B-LOC
ሲቲ,B-LOC
ሴንተር,O
ፎቅ,O
ይምጡ,O
በመነሻዬ,O
የልጅዎን,O
መነሻ,O
ያቅልሉ,O
ይደውሉ,B-EVENT
ወይም,O
የማህበራዊ,O
ሚዲያ,O
ገፆቻችንን,O
ይጎብኙ,B-EVENT
ልጆች,O
አና,O
ደስታዋ,O
እጥፍ,O
ድርብ,O
ሆኗል,O
ያለምንም,O
ኤሌክትሪክና,O
ቻረጅ,O
የሚሰራ,O
እጃቸውን,O
ተጠቅመው,O
ብቻ,O
የሚነዱት,O
እስከ,O
ኪሎ,O
ግራም,O
መሸከም,O
የሚችል,O
ይደውሉ,B-EVENT
ወይም,O
ድረገፃችንን,O
ይጎብኙ,B-EVENT
አድራሻ,B-LOC
ጉርድ,O
ሾላ,O
ሆሊ,B-LOC
ሲቲ,B-LOC
ሴንተር,O
ፎቅ,O
የልጅዎን,O
መነሻ,O
ያቅልሉ,O
ውድ,B-PERSON
ደንበኞቻችን,O
ከዚህ,O
በታች,O
ያስቀመጥንልዎ,O
ለልጆችዎ,O
የሚሆኑ,O
ትምህርታዊ,O
መጫዎቻዎችን,O
በቀላሉና,O
በብዛት,O
የሚያገኙበትን,O
የመነሻዬ,O
ድረገፅ,O
ማስፈንጠሪያ,O
ነውማስፈንጠሪያውን,O
ይንኩ,O
ድረገፃችንን,O
ይጎብኙ,B-EVENT
የወደዱትን,O
ይምረጡ,O
የመረጡትን,O
ይሸምቱ,O
ልጆችዎ,B-FAMILY
እየተዝናኑ,O
በትምህርታዊ,O
መጫዎቻዎች,B-PRODUCT
ህዋን,O
ያስሱ,O
መነሻዬ,O
የልጆችዎን,O
መነሻ,O
የሚያቀሉ,O
ትምህርታዊ,O
መጫዎቻዎች,B-PRODUCT
የሚያገኙበት,B-LOC
ስፍራ,O
ጉርድ,O
ሾላ,O
ሆሊ,B-LOC
ሲቲ,B-LOC
ሴንተር,O
ፎቅ,O
ይደውሉ,B-EVENT
መነሻዬ,O
ይደውሉ,B-EVENT
ወይም,O
እውነተኛ,B-ORG
ቅናሽ,O
የተደረገባቸውን,O
ትምህርታዊ,O
መጫወቻዎች,O
ከመነሻዬ,O
ሸምተው,O
ክረምቱን,O
ለልጆችዎ,O
አስደሳች,O
ያድርጉ,O
መነሻዬ,O
ለልጆች,O
የሚሆኑ,O
ትምህርታዊ,O
መጫዎቻዎችን,O
የሚያገኙበት,B-LOC
ስፍራ,O
ጉርድ,O
ሾላ,O
ሆሊ,B-LOC
ሲቲ,B-LOC
ሴንተር,O
ፎቅ,O
ይምጡ,O
በመነሻዬ,O
የልጅዎን,O
መነሻ,O
ያቅልሉ,O
ይደውሉ,B-EVENT
ወይም,O
የማህበራዊ,O
ሚዲያ,O
ገፆቻችንን,O
ይጎብኙ,B-EVENT
ልጆች,O
መነሻዬ,O
ታብሌት,O
ጥቅል,O
በቴክኖሎጂ,O
የካበተ,O
ሁሉን,O
በአንድ,O
ያካተተ,O
ይደውሉ,B-EVENT
ወይም,O
አድራሻ,B-LOC
ጉርድ,O
ሾላ,O
ሆሊ,B-LOC
ሲቲ,B-LOC
ሴንተር,O
ፎቅ,O
ያሳ,O
ካንትሪ,O
ታወር,O
ፎቅ,O
ጀሞ,O
ደሊና,O
ህንፃ,O
ምድር,O
ላይ,O
ከኦልማርት,O
ጎን,O
ገርጂ,O
መብራት,O
ሃይል,O
ፋውንቴን,O
ህንፃ,O
ፎቅ,O
ልጆች,O
በራሳቸው,O
ገጣጥመው,O
የሚያሽከረክሯቸው,O
የሪሞት,O
